A 马列主义、毛泽东思想、邓小平理论
		R722 新生儿、早产儿疾病
			R722.1 新生儿疾病
				R722.11 新生儿遗传病
				R722.12 新生儿窒息
				R722.13 新生儿感染
				R722.14 产伤
				R722.15 新生儿出血
				R722.16 新生儿硬肿症
				R722.17 新生儿黄疸
				R722.18 新生儿溶血症
				R722.19 新生儿其他疾病
			R722.6 早产儿疾病
		R723 婴儿营养障碍
			R723.1 消化营养障碍
				R723.11 消化不良（婴儿腹泻）
				R723.12 脱水及酸中毒
				R723.13 营养障碍（营养不良）
				R723.14 肥胖症
				R723.19 其他
			R723.2 营养缺乏症
		R725 小儿内科学
			R725.1 小儿传染病
			R725.3 小儿寄生虫病
			R725.4 小儿心脏、血管疾病
			R725.5 小儿血液及淋巴系疾病
			R725.6 小儿呼吸系及胸部疾病
			R725.7 小儿消化系及腹部疾病
			R725.8 小儿内分泌腺疾病及代谢病
			R725.9 小儿全身性疾病
		R726 小儿外科学
			R726.1 小儿外科手术学
			R726.2 小儿整形外科学
			R726.5 小儿各生理系统外科学
			R726.8 小儿骨科学
			R726.9 小儿泌尿科学
		R729 小儿其他疾病
	R73 肿瘤学
		R73-3 肿瘤学实验研究
			R73-31 肿瘤学调查与统计
			R73-33 物理学实验
			R73-34 化学实验
			R73-35 移植与组织培养
			R73-36 治疗实验
			R73-37 肿瘤的转移与扩散
		R730 一般性问题
			R730.1 肿瘤的预防与控制
			R730.2 肿瘤病理学、病因学
				R730.21 肿瘤病理解剖学、组织学
				R730.23 肿瘤病理生理学
					R730.231 肿瘤病因学、发生学
				R730.26 肿瘤病理类型
					R730.261 上皮组织肿瘤
					R730.262 间叶组织瘤
					R730.263 造血组织瘤
					R730.264 神经组织瘤
					R730.269 其他组织瘤
			R730.3 肿瘤免疫学与血清学
			R730.4 肿瘤诊断学
				R730.41 超声波诊断
				R730.42 电气诊断
				R730.43 实验室诊断
				R730.44 放射线、同位素诊断
				R730.45 免疫诊断
				R730.49 其他
			R730.5 肿瘤治疗学
				R730.51 免疫疗法
				R730.52 中草药疗法
				R730.53 化学（药物）疗法
				R730.54 生物疗法
				R730.55 放射疗法
				R730.56 手术（外科）疗法
				R730.57 激光疗法
				R730.58 综合疗法
				R730.59 其他
			R730.6 肿瘤并发症
			R730.7 预后
			R730.8 诊疗器械、用具
			R730.9 康复
		R732 心血管肿瘤
			R732.1 心脏肿瘤
			R732.2 血管肿瘤
		R733 造血器及淋巴系肿瘤
			R733.1 网状内皮系统肿瘤
			R733.2 脾脏肿瘤
			R733.3 骨髓肿瘤
			R733.4 淋巴结肿瘤
			R733.7 白血病
				R733.71 急性白血病
				R733.72 慢性白血病
				R733.73 其他类型白血病
		R734 呼吸系肿瘤
			R734.1 气管、支气管肿瘤
			R734.2 肺肿瘤
			R734.3 胸膜肿瘤
			R734.4 胸壁肿瘤
			R734.5 纵隔肿瘤
			R734.6 膈膜肿瘤
		R735 消化系肿瘤
			R735.1 食管肿瘤
			R735.2 胃肿瘤
			R735.3 肠肿瘤
			R735.4 肠系膜及腹膜后肿瘤
			R735.5 腹膜及膜壁肿瘤
			R735.7 肝肿瘤
			R735.8 胆囊、胆道肿瘤
			R735.9 胰腺肿瘤
		R736 内分泌腺肿瘤
			R736.1 甲状腺肿瘤
			R736.2 甲状旁腺肿瘤
			R736.3 胸腺肿瘤
			R736.4 垂体肿瘤
			R736.5 松果腺肿瘤
			R736.6 肾上腺肿瘤
			R736.7 胰岛肿瘤
			R736.8 性腺肿瘤
		R737 泌尿生殖器肿瘤
			R737.1 泌尿器肿瘤
				R737.11 肾、肾盂肿瘤
				R737.13 输尿管肿瘤
				R737.14 膀胱肿瘤
				R737.15 尿道肿瘤
			R737.2 男性生殖器肿瘤
				R737.21 睾丸、附睾肿瘤
				R737.23 输精管、精囊肿瘤
				R737.25 前列腺肿瘤
				R737.26 阴囊肿瘤
				R737.27 阴茎肿瘤
			R737.3 女性生殖器肿瘤
				R737.31 卵巢肿瘤
				R737.32 输卵管肿瘤
				R737.33 子宫肿瘤
				R737.34 阴道肿瘤
				R737.35 外阴部肿瘤
			R737.9 乳腺肿瘤
		R738 运动系肿瘤
			R738.1 骨骼肿瘤
			R738.2 关节肿瘤
			R738.3 软骨肿瘤
			R738.4 滑囊肿瘤
			R738.5 滑膜肿瘤
			R738.6 软组织肿瘤
			R738.7 肌肉肿瘤
		R739.4 神经系肿瘤
			R739.41 颅内肿瘤及脑肿瘤
			R739.42 脊髓肿瘤
			R739.43 周围神经系肿瘤
			R739.44 植物神经系肿瘤
			R739.45 脑膜肿瘤
		R739.5 皮肤肿瘤
		R739.6 耳鼻咽喉肿瘤
			R739.61 耳肿瘤
			R739.62 鼻、鼻窦肿瘤
			R739.63 咽肿瘤
			R739.64 扁桃体肿瘤
			R739.65 喉肿瘤
		R739.7 眼肿瘤
		R739.8 口腔、颌面部肿瘤
			R739.81 颌面部肿瘤
			R739.82 颌骨肿瘤
			R739.83 腭肿瘤
			R739.85 口腔粘膜肿瘤
			R739.86 舌肿瘤、舌下肿瘤
			R739.87 唾液腺肿瘤
		R739.9 其他部位肿瘤
			R739.91 头、颈、肩部肿瘤
			R739.92 背部肿瘤
			R739.93 腰骶部肿瘤
			R739.95 臀部肿瘤
			R739.96 四肢肿瘤
	R74 神经病学与精神病学
		R741 神经病学
			R741.02 神经病理学、病因学
			R741.04 神经病诊断学
				R741.041 常见症状及其鉴别诊断
				R741.044 电生理检查
				R741.049 神经病定位诊断
			R741.05 神经病治疗学
		R749 精神病学
			R749.05 精神病治疗学
				R749.053 药物疗法
				R749.054 休克疗法
				R749.055 心理疗法
				R749.056 工娱疗法
				R749.057 催眠疗法
				R749.059 其他疗法
			R749.1 脑器质性精神障碍
			R749.2 躯体疾病伴发精神障碍
			R749.3 精神分裂症
			R749.4 情感性精神病
			R749.5 反应性精神障碍
			R749.6 中毒性精神障碍
			R749.7 神经官能症
			R749.8 偏执性精神病
			R749.91 人格障碍
			R749.92 心身疾病
			R749.93 精神发育不全
			R749.94 儿童精神病
			R749.99 其他精神病
	R75 皮肤病学与性病学
		R751 皮肤病学
			R751.05 皮肤病治疗学
		R759 性病学
			R759.1 梅毒
			R759.2 淋病
				R759.21 男子淋病
				R759.22 女子淋病
				R759.23 儿童淋病
				R759.29 其他淋菌性疾病
			R759.3 软体下疳
			R759.4 腹股沟肉芽肿
			R759.5 性病淋巴肉芽肿
	R76 耳鼻咽喉科学
		R762 耳鼻咽喉外科学
		R763 耳鼻咽喉科真菌病
		R764 耳科学、耳疾病
			R764.04 诊断学
			R764.1 外耳疾病
			R764.2 中耳疾病
				R764.21 中耳炎
				R764.22 乳突炎
				R764.23 中耳炎合并症
				R764.29 其他
			R764.3 内耳疾病
				R764.32 耳硬化症
				R764.33 膜迷路积水（美尼尔Meniere氏综合征）
				R764.34 迷路疾病
				R764.35 耳蜗疾病
			R764.4 耳神经系疾病
				R764.41 听神经炎
				R764.42 听神经麻痹症
				R764.43 耳聋
				R764.44 聋哑病
				R764.45 耳鸣
			R764.5 病理听力学及助听器
			R764.7 耳部畸形
			R764.8 耳部损伤与异物
			R764.9 耳部外科手术
		R765 鼻科学、鼻疾病
			R765.04 诊断学
			R765.1 外鼻疾病
				R765.11 外鼻炎症
				R765.12 鼻前庭疖
				R765.13 鼻前庭湿疹
				R765.14 鼻前庭须疮
			R765.2 鼻腔疾病
				R765.21 鼻炎
				R765.22 鼻特异性炎症
				R765.23 鼻出血
				R765.24 脑脊液鼻漏
				R765.25 鼻粘膜疾病
				R765.26 鼻石
			R765.3 鼻中隔疾病
			R765.4 鼻窦疾病
			R765.5 鼻原性并发症
			R765.6 鼻神经系疾病
			R765.7 鼻部畸形
			R765.8 鼻部外伤与异物
			R765.9 鼻部外科手术
		R766 咽科学、咽疾病
			R766.04 诊断学
			R766.1 一般性疾病
				R766.11 咽部疱疹
				R766.12 咽峡炎
				R766.13 西蒙诺夫斯基-奋森氏咽峡炎
				R766.14 咽炎
				R766.15 咽后脓肿
				R766.16 咽真菌病
				R766.18 扁桃体炎
			R766.2 咽神经系疾病
			R766.3 鼻咽部疾病
			R766.4 口咽部疾病
				R766.43 悬雍垂病
				R766.49 其他
			R766.5 喉咽部疾病
			R766.7 咽部畸形
			R766.8 咽部损伤与异物
			R766.9 咽部外科手术
		R767 喉科学、喉疾病
			R767.04 诊断学
			R767.1 喉部疾病
				R767.11 喉炎
				R767.12 喉水肿
				R767.13 喉梗阻（喉性呼吸困难）
				R767.19 其他
			R767.2 喉关节疾病
			R767.3 喉软骨疾病
			R767.4 声带疾病
			R767.5 会厌疾病
			R767.6 喉神经系疾病
			R767.7 喉畸形
			R767.8 喉部损伤与异物
			R767.91 喉部外科手术
			R767.92 嗓音医学、语言医学
		R768 气管与食管镜学
			R768.1 气管、支气管镜检查术
			R768.3 食管镜检查术
			R768.4 气管与食管异物取出术
	R77 眼科学
		R770.4 眼科诊断学
			R770.41 一般检查及眼内部检查法
			R770.42 眼机能检查法
			R770.43 特殊检查法（电气诊断）
		R771 眼的一般性疾病
			R771.1 眼畸形病
			R771.2 眼球炎
			R771.3 系统疾病的眼部表现
		R772 眼纤维膜疾病
			R772.2 角膜疾病
				R772.21 角膜炎、角膜溃疡
				R772.22 角膜实质炎
				R772.23 角膜变性
			R772.3 巩膜疾病
		R773 眼色素层（葡萄膜）疾病
			R773.1 虹膜疾病
			R773.2 瞳孔疾病
			R773.3 睫状体疾病
			R773.4 脉络膜疾病
			R773.9 其他葡萄膜疾病
		R774 视网膜及视神经疾病
			R774.1 视网膜疾病
			R774.5 黄斑、中心窝疾病
			R774.6 视神经疾病
			R774.7 视路及视中枢疾病
		R775 眼压与青光眼
			R775.1 青光眼的早期诊断
			R775.2 原发性青光眼
			R775.3 继发性青光眼
			R775.4 先天性青光眼
			R775.5 低眼压青光眼
			R775.9 其他
		R776 晶状体与玻璃体疾病
			R776.1 白内障
			R776.2 晶体移位
			R776.3 无晶体眼
			R776.4 玻璃体疾病
		R777 眼附属器官疾病
			R777.1 眼睑疾病
			R777.2 泪器疾病
			R777.3 结膜疾病
				R777.31 结膜炎
				R777.32 沙眼
				R777.33 翼状胬肉
				R777.34 结膜干燥病
				R777.39 其他
			R777.4 眼肌疾病与斜视
			R777.5 眼眶疾病
		R778 眼屈光学
			R778.1 眼应用屈光学
			R778.2 眼屈光检查法
			R778.3 眼镜学
		R779.1 眼损伤与异物
			R779.11 职业性眼病
			R779.12 物理及机械性眼损伤
			R779.13 农药及其他毒物性眼损伤
			R779.14 眼内异物
		R779.6 眼外科手术学
			R779.61 冷冻眼外科
			R779.62 无缝线及显微眼外科手术
			R779.63 视网膜光凝术及激光在眼外科的应用
			R779.64 眼成形术及义眼
			R779.65 角膜移植
			R779.66 白内障摘除术
		R779.7 小儿眼科学总论
		R779.9 热带眼科学
	R78 口腔科学
		R780.1 口腔疾病的预防与卫生
		R780.2 口腔病理学
		R781 口腔内科学
			R781.05 治疗学
			R781.1 龋齿
			R781.2 非龋性牙疾病
			R781.3 牙髓病及根尖周围病
				R781.31 牙髓炎
				R781.32 牙髓变性
				R781.33 根管疾病
				R781.34 根尖周围疾病
			R781.4 牙周病
			R781.5 口腔粘膜病
			R781.6 系统疾病的口腔表现
			R781.7 唾液腺（涎腺）疾病
			R781.8 口腔脓毒病（口腔病灶感染）
			R781.9 其他口腔疾病
		R782 口腔颌面部外科学
			R782.05 口腔颌面部外科手术学
			R782.1 牙及牙槽骨外科
				R782.11 牙齿摘除术（拔牙术）
				R782.12 牙齿的移植与再植
				R782.13 牙槽骨外科
			R782.2 口腔颌面部整形外科学
			R782.3 口腔颌面部炎症
			R782.4 口腔颌面部损伤
			R782.6 颞下颌关节疾病
			R782.7 涎腺外科手术
		R783 口腔矫形学
			R783.1 牙科材料学
			R783.2 口腔工艺学
			R783.3 牙体缺损的修复矫治
			R783.4 牙列缺损及牙损伤的修复
			R783.5 口腔正畸学
			R783.6 义齿学
			R783.9 口腔颌面部其他疾病的矫形治疗
		R787 老年口腔疾病
		R788 儿童口腔疾病
	R79 外国民族医学
	R8 特种医学
		R81 放射医学
			R811 放射医学基础理论
				R811.1 医用放射物理学
				R811.3 医用放射化学
				R811.5 医用放射生物学
			R812 放射线学（X线学）
			R813 X线解剖学
			R814 X线诊断学
				R814.2 X线剂量学
				R814.3 X线检照技术
				R814.4 各种X线诊断
					R814.41 传统X线诊断
					R814.42 电子计算机扫描
					R814.43 造影诊断
					R814.49 其他
				R814.5 透视学
			R815 放射疗法
				R815.1 超软放射疗法
				R815.2 放射线疗法
				R815.3 镭疗法
				R815.4 中子疗法
				R815.5 钴60治疗
				R815.6 加速器治疗
			R816 各部位及各科疾病的X线诊断与疗法
				R816.1 头颅及神经系
				R816.2 心脏血管系
				R816.3 造血系、淋巴系
				R816.4 胸部及呼吸系
					R816.41 肺部
				R816.5 腹部及消化系
				R816.6 内分泌腺
				R816.7 泌尿及男性生殖系
				R816.8 外科、骨科
				R816.91 妇产科
				R816.92 儿科
				R816.95 皮肤科
				R816.96 耳鼻咽喉科
				R816.97 眼科
				R816.98 口腔科
			R817 放射性同位素在医学上的应用
				R817-3 研究方法
					R817-33 实验室
				R817.1 在基础医学上的应用
				R817.4 在诊断上的应用
				R817.5 在治疗上的应用
				R817.8 各种放射性同位素在治疗上的应用
				R817.9 放射性同位素化合物制剂
			R818 放射病、放射损伤
				R818.02 病理学
					R818.021 病理解剖学
					R818.023 病理生理学
				R818.03 放射毒理学
				R818.04 放射病诊断学
					R818.041 症状
				R818.05 放射病治疗学
					R818.051 化学疗法与抗生素疗法
					R818.052 各种制剂疗法
					R818.053 酶疗法
					R818.059 其他疗法
				R818.07 预后
				R818.7 放射病与放射损伤各论
					R818.71 急性放射病
					R818.72 慢性及迟发性放射病
					R818.73 放射性药物中毒
					R818.74 放射损伤
				R818.8 人体各部位及各科放射病
		R82 军事医学
			R821 军队卫生勤务、军队卫生学
				R821.1 军队卫生勤务行政
				R821.2 军人健康鉴定
					R821.21 陆军军人健康鉴定
					R821.22 海军和空军军人健康鉴定
					R821.23 特种军人健康鉴定
				R821.3 军队卫生统计学
				R821.4 卫生战术（勤卫战术）
				R821.5 军队劳动卫生
				R821.6 军队营养卫生
					R821.69 军队个人卫生
				R821.7 陆军卫生学
				R821.8 海军卫生学
					R821.81 舰艇卫生
					R821.82 港口卫生
					R821.89 海军医院、医院船
				R821.9 空军卫生学
			R823 军队临床医学
			R824 军队流行病学
				R824.1 卫生学检查
				R824.2 传染病管理与预防措施
				R824.6 驻扎地区的防疫工作
			R825 野战内科学
				R825.1 传染病
				R825.2 结核病
				R825.3 寄生虫病
				R825.4 心脏血管疾病
				R825.5 血液及淋巴系疾病
				R825.6 呼吸系及胸部疾病
				R825.7 消化系及腹部疾病
				R825.8 内分泌腺疾病及代谢病
				R825.91 营养缺乏病
				R825.92 中毒
				R825.93 内科急症
			R826 野战外科学
				R826.1 战伤急救
				R826.2 战伤外科手术
				R826.3 外科感染及化脓性炎症
				R826.5 一般的创伤及烧伤
				R826.6 各部位损伤及外科疾病
					R826.61 血管
					R826.62 头、颈部
					R826.63 胸部
					R826.64 脊柱与脊髓
					R826.65 腹部
					R826.66 躯干
					R826.67 骨盆
					R826.68 四肢
				R826.8 整形外科学
				R826.9 矫形外科学
			R827 特种武器损伤
				R827.1 化学武器中毒
					R827.11 预防法及消除法
					R827.12 毒气毒理学
					R827.13 毒气病理解剖学
					R827.14 诊断
					R827.15 治疗
					R827.17 中毒各论
				R827.2 细菌武器感染
					R827.21 预防法及消除法
					R827.22 细菌武器微生物学
					R827.24 诊断
					R827.25 治疗
				R827.3 核武器损伤
					R827.31 预防法
					R827.32 病理解剖学
					R827.34 诊断
					R827.35 治疗
			R828 专科疾病
				R828.1 泌尿生殖器疾病
				R828.2 妇产科
				R828.3 肿瘤科
				R828.4 神经病及精神病科
				R828.5 皮肤病及性病科
				R828.6 耳鼻咽喉科
				R828.7 眼科
				R828.8 口腔科
		R83 航海医学
			R831 航海卫生学
			R832 航海生理学
			R834 航海病理学
			R835 航海对人体的影响与疾病
				R835.1 航海对人体的影响
				R835.2 航海内科疾病
				R835.3 航海外科疾病
				R835.9 其他
			R836 航海毒理学
			R837 航海用药
			R839 其他
		R84 潜水医学
			R840.5 治疗学
			R841 潜水卫生学
			R842 潜水生理学
			R844 潜水病理学
			R845 潜水对人体的影响与疾病
				R845.1 水下环境对人体的影响
				R845.2 潜水疾病
			R846 潜水事故及防治
			R847 潜艇医学
			R849 其他
		R85 航空航天医学
			R851 航空航天卫生学
				R851-6 卫生学参考工具书
					R851-65 卫生条例
				R851.1 卫生勤务
				R851.2 劳动卫生与身体锻练
				R851.3 人员的医学选拔、体检、健康鉴定
				R851.4 旅客卫生与卫生设备
				R851.5 群体流行病学、机场检疫学
				R851.6 医务保障、医学监督
				R851.7 人员受伤、遇险的营救、救生、医疗后送
				R851.8 航空航天营养学与食品卫生
			R852 航空航天生理学与防护
				R852.1 大气影响
					R852.11 缺氧及其防护
					R852.12 气压损伤及其防护
					R852.13 增压座舱
					R852.14 密闭舱
					R852.15 氧中毒
					R852.16 减压病及其防治
					R852.17 座舱的微环境气候
				R852.2 空间动力学影响
					R852.21 加速度及其防护
					R852.22 失重
					R852.23 旋转
					R852.24 噪声
					R852.25 振动
				R852.3 运动环境对前庭的刺激
					R852.31 空晕病
					R852.32 飞行错觉
					R852.33 运动病
				R852.4 感观生理
				R852.5 温度环境影响
					R852.51 热负荷
					R852.52 冷负荷
				R852.6 昼夜节律
				R852.7 辐射影响及防护
				R852.8 生命保障系统及个人防护装备
					R852.81 个人防护装备
					R852.82 航天舱内生命保障系统
					R852.83 航天出舱生命保障系统
			R854 航空航天生物化学
			R855 航空航天病理学
			R856 航空航天临床医学
				R856.2 中医的临床应用
				R856.5 内科学
				R856.6 外科学
				R856.74 神经及精神病学
				R856.76 耳鼻喉科学
				R856.77 眼科学
				R856.78 口腔科学
			R857 航空航天医学工程
				R857.1 航空航天工效学
					R857.11 人体测量
					R857.12 座舱布局的人体工效学
					R857.13 显示、操纵和照明系统的人体工效学
					R857.14 人机学
				R857.2 电子学和电子仿生学的应用
				R857.3 生物信息技术及电子计算机的应用
			R858 航空航天毒理学
				R858.1 飞机中的毒物
				R858.2 地勤人员毒理学
				R858.3 高能燃料毒理学
				R858.4 密闭环境中的毒理学
				R858.5 化学武器引致的毒理学及防护
			R859 航空航天药理学
		R87 运动医学
			R872 运动医务监督
				R872.1 健康分组
				R872.5 比赛期的特殊问题
				R872.6 运动项目医务监督
				R872.7 过度疲劳恢复措施
				R872.8 队医
			R873 运动损伤
			R874 运动性疾病
	R9 药学
		R91 药物基础科学、药物分析
			R911 药物数学
			R912 药物物理学
			R913 药物物理化学
			R914 药物化学
				R914.2 药物设计
				R914.3 无机药物化学
				R914.4 有机药物化学
				R914.5 有机合成药物化学
			R915 药物生物学
			R917 药物分析
		R92 药典、药方集（处方集）、药物鉴定
			R921 国家药典
				R921.2 中国药典
			R922 副药典
			R924 国家药方集
			R925 处方集
			R926 药物规范
			R927 药物鉴定
				R927.1 药物检验
					R927.11 药物质量检验
					R927.12 药物中热原检查
				R927.2 药物含量测定
		R93 生药学（天然药物学）
		R94 药剂学
			R942 调剂学
			R943 制剂学
			R944 剂型
				R944.1 液体制剂
				R944.2 固体制剂
				R944.4 片剂
				R944.5 胶囊剂
				R944.6 浸出制剂
				R944.7 气溶剂
				R944.9 其他
			R945 生物药剂学
		R95 药事组织
			R951 药事法规
			R952 药房
			R954 药品的管理和储藏
			R955 药用器械的管理和储藏
		R96 药理学
			R961 药物的性质和作用
			R962 化学药理学
			R963 生化药理学
			R964 精神药理学
			R965 实验药理学
				R965.1 药物筛选和实验模型
				R965.2 药理的实验方法与技术
				R965.3 药物的安全试验
			R966 分子药理学
			R967 免疫药理学
			R968 遗传药理学
			R969 临床药理学
				R969.1 药物代谢动力学
				R969.2 药物相互作用
				R969.3 合理用药
				R969.4 临床疗效试验
		R97 药品
			R971 神经系统药物
			R972 心血管系统药物
			R973 血液和造血系统药物
			R974 呼吸系统药物
			R975 消化系统药物
			R976 抗变态反应药物
			R977 影响生长代谢机能药物
				R977.1 激素类药物
				R977.2 维生素类药物
				R977.3 酶制剂
				R977.4 氨基酸及其衍生物
				R977.5 矿物质
				R977.6 蛋白质、结合糖、脂类
				R977.7 调节水、电解质和酸碱平衡药物
				R977.8 血液代用品
				R977.9 其他
			R978 治疗传染病及寄生虫病药物
				R978.1 抗生素
				R978.2 磺胺类药物
				R978.3 抗结核病药、抗麻风病药物
				R978.4 抗梅毒等螺旋体病药物
				R978.5 抗真菌药物
				R978.6 抗寄生虫病药物
					R978.61 抗原虫病药物
					R978.63 抗蠕虫病药物
					R978.69 其他
				R978.7 抗病毒药物
			R979.1 抗肿瘤、抗癌药物
			R979.2 计划生育药物
			R979.3 职业病药物、解毒药
			R979.4 抗物理性损害药
			R979.5 免疫增强剂、免疫抑制剂
			R979.6 防治放射病药物
			R979.7 消毒、防腐药
			R979.8 杀虫、灭鼠药
			R979.9 其他
		R99 毒物学（毒理学）
			R991 毒物的分析及鉴定
			R992 毒物的生理及化学作用
			R994 毒物学分支
				R994.1 临床毒理学
				R994.3 工业毒理学
				R994.4 食品毒理学
				R994.5 昆虫毒理学
				R994.6 环境毒理学
			R995 无机毒物
			R996 有机毒物
				R996.1 食物毒、腐肉毒及其细菌产物
				R996.2 植物毒
				R996.3 动物毒
S 农业科学
	S-0 一般性理论
		S-01 农业科学研究方针、政策及其阐述
		S-02 农业哲学
		S-03 农业科学研究方法
		S-09 农学史
	S-1 农业科学技术现状与发展
	S-3 农业科学研究、试验
	S1 农业基础科学
		S11 农业数学
		S12 农业物理学
			S121 物理学方法在农业上的应用
			S122 声在农业上的应用
			S123 光在农业上的应用
			S124 核技术在农业上的应用
			S125 电在农业上的应用
			S126 电子技术、计算机技术在农业上的应用
			S127 遥感技术在农业上的应用
			S129 其他物理方法在农业上的应用
		S13 农业化学
			S131 农业化学研究与实验法
			S132 农业化学分析方法
		S14 肥料学
			S14-3 肥料学研究方法、工作方法
				S14-31 肥料调查
				S14-33 肥料分析和实验
				S14-35 肥料试验网
			S14-9 肥料志
			S141 农家肥料
				S141.1 人粪尿
				S141.2 厩肥（圈肥、栏肥、埘肥）
				S141.3 禽肥、鱼肥、海肥
				S141.4 堆肥、沤肥
				S141.5 糟肥、饼肥
				S141.6 泥炭、污泥、土肥、灰肥
				S141.7 屠宰废物
				S141.8 工业废水及垃圾在肥料中的利用
				S141.9 其他
			S142 绿肥
			S143 化学肥料
				S143.1 氮肥
				S143.2 磷肥
				S143.3 钾肥
				S143.4 二元复合肥料
				S143.5 三元复合肥料
					S143.58 多元复合肥料
				S143.6 有机无机复合肥料
				S143.7 微量元素肥料
				S143.91 间接肥料
				S143.92 农药肥料
				S143.93 土化肥
			S144 微生物肥料（细菌肥料）
				S144.1 复合微生物肥料（复合细菌肥料）
				S144.2 抗生菌肥料
				S144.3 根瘤菌肥料
				S144.5 固氮菌肥料（固氮菌微生物肥料）
				S144.9 其他
			S145 肥料剂型
				S145.2 液体肥料
				S145.3 气体肥料
				S145.4 固体肥料
				S145.5 颗粒肥料
				S145.6 时效肥料
				S145.7 示踪肥料
				S145.9 其他
			S146 肥料的选择与管理
			S147 积肥技术、调制与施肥效益
				S147.1 积肥与保肥
				S147.2 施肥
					S147.21 施肥标准及制度
					S147.22 施肥量
					S147.23 施肥时期
					S147.24 施肥位置
				S147.3 施肥方法
					S147.31 施基肥法
					S147.32 施追肥法
					S147.33 施种肥法
					S147.34 混合施肥
					S147.35 各种条件的施肥方法
				S147.4 肥料调制
				S147.5 肥效
		S15 土壤学
			S151 土壤形成及演化
				S151.9 土壤分析
			S152 土壤物理学
				S152.2 土壤构造及形态
				S152.3 土壤机械组成（质地）
				S152.4 土壤结构
				S152.5 土壤比重、容重与孔隙
				S152.6 土壤空气
				S152.7 土壤水分
				S152.8 土壤温度和热流
				S152.9 土壤物理机械性质（土壤力学）
			S153 土壤化学、土壤物理化学
				S153.1 土壤化学研究法
				S153.2 土壤电化学、土壤磁学
				S153.3 土壤胶体化学
				S153.4 土壤反应（土壤酸碱度）
				S153.5 土壤溶液
				S153.6 土壤成分
			S154 土壤生物学
				S154.1 土壤生态学
				S154.2 土壤生物化学
				S154.3 土壤微生物学
					S154.31 土壤微生物演化
					S154.32 土壤微生物遗传
					S154.33 土壤微生物形态
					S154.34 土壤微生物生物物理、生化与生理
					S154.36 土壤微生物生态学
					S154.37 土壤微生物区系
					S154.38 土壤微生物分类
					S154.39 土壤微生物的资源开发与利用
				S154.4 土壤-植物系统
				S154.5 土壤动物学
				S154.6 土壤昆虫学
			S155 土壤分类学、土壤类型
				S155.1 土壤分类学
				S155.2 发生学分类
				S155.3 土壤系统分类
				S155.4 农业土壤分类
				S155.5 其他分类
				S155.9 各国土壤分类
			S156 土壤改良
				S156.1 水文地质条件
				S156.2 土壤改良剂
				S156.3 粘土改良
				S156.4 盐碱土改良
				S156.5 砂荒改良
				S156.6 红壤、黄壤改良
				S156.7 沼泽地改良
				S156.8 洼地、低湿地改良
				S156.91 滩地改良
				S156.92 旱地改良
				S156.93 薄地改良
				S156.99 其他土壤改良
			S157 水土保持
				S157.1 水土流失的原因及其防治
				S157.2 水土保持的综合治理措施
				S157.3 农田改良土地措施
				S157.4 农业技术措施
				S157.9 其他水土保持措施
			S158 土壤肥力（土壤肥沃性）
				S158.1 土壤熟化和退化
				S158.2 土壤肥力测定
				S158.3 土壤肥力与植物
				S158.4 土壤肥力与毒性
				S158.5 土壤肥力控制与调节
				S158.9 土壤肥力图
			S159 土壤地理、土壤调查
				S159-3 土壤调查方法
				S159.1 世界土壤地理、土壤调查
				S159.2 中国土壤地理、土壤调查
				S159.9 土壤图
		S16 农业气象学
			S161 农业气象要素
				S161.1 日照、辐射
				S161.2 温度（气温）
				S161.3 湿度
				S161.4 蒸发与蒸腾
				S161.5 云雾
				S161.6 降水、降雪
				S161.7 风
				S161.9 其他
			S162 农业气候
				S162.1 农业气候指标
				S162.2 农业气候区划
				S162.3 农业气候资源及其评定
				S162.4 农田小气候
				S162.5 气候与作物生长
				S162.8 气候与收获
			S163 农业气象观测与仪器、设备
			S164 农业气象观测资料
			S165 农业气象预报
		S17 农业地理学
		S18 农业生物学
			S181 农业生态学
			S182 农业微生物学
			S183 农业生物物理学
			S184 农业植物学
			S185 农业动物学
			S186 农业昆虫学
			S187 农业蜱螨学
			S188 农业生物工程
		S19 农业生产环境保护
	S2 农业工程
		S21 农业动力、农村能源
			S210 一般性问题
				S210.1 农业动力、农村能源区划和规划
				S210.4 节能技术
					S210.41 常规节能
					S210.43 节能炉灶
					S210.45 余热利用
				S210.5 贮能技术
				S210.6 农业动力系统、农村能源系统管理
				S210.7 农业动力、农村能源开发与利用
			S211 人力、畜力
			S212 水能的应用
			S213 风能的应用
			S214 太阳能的应用
				S214.2 太阳灶、太阳能热水器
				S214.3 太阳能热温室、太阳能暖房
				S214.4 太阳能干燥、太阳能制冷
				S214.9 其他
			S215 地下热能的应用
			S216 生物能（生物质能）的应用
				S216.1 动物能源
				S216.2 植物能源
				S216.3 微生物能源
				S216.4 沼气
			S218 热能和机械能的应用
				S218.1 农用蒸汽机
				S218.5 农用内燃机
			S219 拖拉机
				S219.0 一般性问题
					S219.01 理论
					S219.02 设计、计算、制图
					S219.03 结构、零部件
					S219.04 材料、原材料、辅助材料
					S219.05 制造用设备、仪器
					S219.06 制造工艺
					S219.07 运行与维修
					S219.08 机械工厂、车间
					S219.09 拖拉机类型
				S219.1 轮式拖拉机
				S219.2 链轨式（履带式）拖拉机
				S219.3 自动底盘拖拉机
				S219.4 电力拖拉机
				S219.5 液压驱动拖拉机
